'Apple AirPods Pro (2ª geração)'; 'Fone de Ouvido'; 'Apple'; '1299.00'; '0.2'; 'Fone auricular com cancelamento de ruído ativo e ajuste personalizado.'; '../static/img/produtos/fones_de_ouvido/apple_airpods_pro_2.jpg'
'Razer Opus X'; 'Fone de Ouvido'; 'Razer'; '499.00'; '0.3'; 'Fone supra-auricular com som imersivo e cancelamento de ruído ativo.'; '../static/img/produtos/fones_de_ouvido/razer_opus_x.jpg'
'Philips SHB3075'; 'Fone de Ouvido'; 'Philips'; '199.00'; '0.2'; 'Fone supra-auricular com som potente e design leve.'; '../static/img/produtos/fones_de_ouvido/philips_shb3075.jpg'

'Sony MDR-EX155AP'; 'Fone de Ouvido'; 'Sony'; '129.00'; '0.05'; 'Fone intra-auricular com som claro e microfone integrado.'; '../static/img/produtos/fones_de_ouvido/sony_mdr_ex155ap.jpg'
'JBL T110'; 'Fone de Ouvido'; 'JBL'; '79.00'; '0.04'; 'Fone intra-auricular com som JBL Pure Bass e cabo flat.'; '../static/img/produtos/fones_de_ouvido/jbl_t110.jpg'
'Sennheiser CX 300S'; 'Fone de Ouvido'; 'Sennheiser'; '249.00'; '0.06'; 'Fone intra-auricular com som detalhado e microfone embutido.'; '../static/img/produtos/fones_de_ouvido/sennheiser_cx_300s.jpg'
'1MORE Piston Fit'; 'Fone de Ouvido'; '1MORE'; '99.00'; '0.04'; 'Fone intra-auricular com design ergonômico e som de alta qualidade.'; '../static/img/produtos/fones_de_ouvido/1more_piston_fit.jpg'
'KZ ZSN Pro'; 'Fone de Ouvido'; 'KZ'; '149.00'; '0.05'; 'Fone intra-auricular com drivers híbridos e design robusto.'; '../static/img/produtos/fones_de_ouvido/kz_zsn_pro.jpg'
'Xiaomi Mi In-Ear Pro'; 'Fone de Ouvido'; 'Xiaomi'; '119.00'; '0.04'; 'Fone intra-auricular com drivers dinâmicos e design elegante.'; '../static/img/produtos/fones_de_ouvido/xiaomi_mi_in_ear_pro.jpg'
'Skullcandy Ink'd+'; 'Fone de Ouvido'; 'Skullcandy'; '89.00'; '0.04'; 'Fone intra-auricular com som potente e microfone integrado.'; '../static/img/produtos/fones_de_ouvido/skullcandy_inkd_plus.jpg'
'Panasonic ErgoFit RP-HJE120'; 'Fone de Ouvido'; 'Panasonic'; '49.00'; '0.03'; 'Fone intra-auricular com design ergonômico e som equilibrado.'; '../static/img/produtos/fones_de_ouvido/panasonic_ergofit_rp_hje120.jpg'
'Beats urBeats3'; 'Fone de Ouvido'; 'Beats'; '349.00'; '0.05'; 'Fone intra-auricular com som poderoso e cabo flat sem emaranhamento.'; '../static/img/produtos/fones_de_ouvido/beats_urbeats3.jpg'
'Bose SoundSport'; 'Fone de Ouvido'; 'Bose'; '499.00'; '0.06'; 'Fone intra-auricular com som equilibrado e design esportivo.'; '../static/img/produtos/fones_de_ouvido/bose_soundsport.jpg'

'Sony WH-1000XM5'; 'Fone de Ouvido'; 'Sony'; '2399.00'; '0.3'; 'Fone circumaural com cancelamento de ruído líder do setor e som de alta qualidade.'; '../static/img/produtos/fones_de_ouvido/sony_wh_1000xm5.jpg'
'Bose QuietComfort 45'; 'Fone de Ouvido'; 'Bose'; '1999.00'; '0.3'; 'Fone circumaural com cancelamento de ruído ativo e conforto excepcional.'; '../static/img/produtos/fones_de_ouvido/bose_quietcomfort_45.jpg'
'Sennheiser HD 660S'; 'Fone de Ouvido'; 'Sennheiser'; '2499.00'; '0.5'; 'Fone circumaural aberto com som de alta fidelidade.'; '../static/img/produtos/fones_de_ouvido/sennheiser_hd_660s.jpg'
'Audio-Technica ATH-M50xBT'; 'Fone de Ouvido'; 'Audio-Technica'; '1299.00'; '0.3'; 'Fone circumaural com som balanceado e conexão sem fio.'; '../static/img/produtos/fones_de_ouvido/audio_technica_ath_m50xbt.jpg'
'AKG K371'; 'Fone de Ouvido'; 'AKG'; '899.00'; '0.2'; 'Fone circumaural com som preciso e design dobrável.'; '../static/img/produtos/fones_de_ouvido/akg_k371.jpg'
'Beyerdynamic DT 770 Pro'; 'Fone de Ouvido'; 'Beyerdynamic'; '1399.00'; '0.4'; 'Fone circumaural com som detalhado e construção robusta.'; '../static/img/produtos/fones_de_ouvido/beyerdynamic_dt_770_pro.jpg'
'Philips Fidelio X2HR'; 'Fone de Ouvido'; 'Philips'; '1299.00'; '0.4'; 'Fone circumaural aberto com som imersivo e design confortável.'; '../static/img/produtos/fones_de_ouvido/philips_fidelio_x2hr.jpg'
'HyperX Cloud Orbit S'; 'Fone de Ouvido'; 'HyperX'; '1899.00'; '0.4'; 'Fone circumaural com som 3D e conforto para longas sessões.'; '../static/img/produtos/fones_de_ouvido/hyperx_cloud_orbit_s.jpg'
'Razer BlackShark V2 Pro'; 'Fone de Ouvido'; 'Razer'; '1199.00'; '0.3'; 'Fone circumaural com som de alta qualidade e conexão sem fio.'; '../static/img/produtos/fones_de_ouvido/razer_blackshark_v2_pro.jpg'
'Logitech G Pro X Wireless'; 'Fone de Ouvido'; 'Logitech'; '1299.00'; '0.3'; 'Fone circumaural com som imersivo e conforto para longas sessões de jogo.'; '../static/img/produtos/fones_de_ouvido/logitech_g_pro_x_wireless.jpg'
